values,names,fixed,lower_bound,upper_bound,steps,lower_start,upper_start
0.1,beta,0,-0.5,0.5,0.1,-0.2,0.2
2,tshift,1,0,3,0.1,0,10
2,desired_mode,1,0,7,0.1,0,10
8.878486885657335,viral_peak,0,0,25,0.1,2,10
5.940421414087261,obs_sd,0,0,10,0.1,1,10
-3,true_0,1,-10,0,0.1,-10,0
40,intercept,1,0,100,0.1,0,100
3,LOD,1,0,10,0.1,0,10
2,limit_quantification,1,0,10,0.1,0,10
5,incu,1,0,10,0.1,0,10
15.788514698239043,t_switch,0,0,30,0.1,10,30
3.684212663677637,level_switch,0,0,100,0.1,8,15
29.610244940704412,wane_rate2,0,0,50,0.1,10,50
0.11608774364912489,prob_detect,0,0,1,0.1,0.01,0.1
1,t_unit,1,0,1,0.1,0,1
